,name,counts,rank
0,Dante,48,1
1,Casey,35,1
2,Charles,30,1
3,Arnall,26,1
4,Dedalus,22,1
5,Dixon,21,1
6,Davin,19,1
7,Michael,18,1
8,John,12,2
9,Moynihan,11,2
10,Athy,11,2
11,Stevie,9,2
12,Nasty Roche,9,2
13,Simon Moonan,9,2
14,Francis Xavier,8,2
15,Glynn,8,2
16,Simon,8,2
17,Riordan,7,2
18,Jack Lawton,7,2
19,Cecil Thunder,7,2
20,Dolan,6,2
21,Eileen,6,2
22,Stephen Dedalus,6,2
23,Donovan,5,2
24,Mike Flynn,5,2
25,Corrigan,5,2
26,Wallis,5,2
27,Goggins,5,2
28,Maurice,4,0
29,Rody Kickham,4,0
30,Wells,4,0
31,Peter Parley,3,0
32,Tennyson,3,0
33,Josephine,3,0
34,Doyle,3,0
35,Byron,2,0
36,Mick Lacy,2,0
37,Cardinal Newman,2,0
38,Aloysius Gonzago,2,0
39,Towser,2,0
40,Johnny,2,0
41,John Anthony Collins,2,0
42,Lynch,2,0
43,Tom,2,0
44,Stephaneforos,2,0
45,Michael Davitt,2,0
46,Hamilton Rowan,2,0
47,Aristotle,2,0
48,Newman,2,0
49,Rosie,2,0
50,Vincent Heron,2,0
51,Jimmy Magee,2,0
52,Ben Jonson,2,0
53,Walter Scott,2,0
54,Wolsey,2,0
55,Moran,2,0
56,Johnny Cashman,2,0
57,Stephen,2,0
58,Thomas,2,0
59,Christopher,1,0
60,Leicester Abbey,1,0
61,Paddy Barrett,1,0
62,Tara,1,0
63,Clanbrassil,1,0
64,Bertie Tallon,1,0
65,Moycullen,1,0
66,Oona,1,0
67,Joey Corbet,1,0
68,Michael Cusack,1,0
69,Francis Forster,1,0
70,William,1,0
71,Clontarf Chapel,1,0
72,Willie,1,0
73,Roderick Kickham,1,0
74,John Alphonsus Mulrennan,1,0
75,Louis Veuillot,1,0
76,Fianna,1,0
77,Gerhart Hauptmann,1,0
78,Johnny Keevers,1,0
79,Fonsy Davin,1,0
80,Lordin,1,0
81,Cripes,1,0
82,Lottie Collins,1,0
83,Barrett,1,0
84,Shuley,1,0
85,Aubrey Mills,1,0
86,Tom Furlong,1,0
87,Augustine,1,0
88,Blessed John Berchmans,1,0
89,Lee,1,0
90,Elizabeth,1,0
91,Crokes,1,0
92,Plato,1,0
93,Kneel,1,0
94,Brigid,1,0
95,Daly,1,0
96,Mat Davin,1,0
97,Queen Victoria,1,0
98,William Bond,1,0
99,L. D. S.,1,0
100,Gleeson,1,0
101,Clontail Chapel,1,0
102,James,1,0
103,Dante Alighieri,1,0
104,John Stephen Dedalus,1,0
105,Jove,1,0
106,Jean-Jacques Rousseau,1,0
107,Ibsen,1,0
108,Baldwin,1,0
109,Dan Crosby,1,0
110,Kitty Oâ€™Shea,1,0
111,Bertie,1,0
112,Simon Dedalus,1,0
113,John Lawton,1,0
114,Peter Byrne,1,0
115,Maundy,1,0
116,Rosie first,1,0
117,Alec Kafoozelum,1,0
118,Juan Mariana de Talavera,1,0
119,jack,1,0
120,John Duncan,1,0
121,Roman,1,0
122,Marx,1,0
123,Wolfe Tone,1,0
124,Luigi Galvani,1,0
125,Peter Kenny,1,0
126,John Anthony,1,0
127,Dwyer,1,0
128,Keogh,1,0
129,Lady Boyle,1,0
130,Ally Daly,1,0
131,Armagh,1,0
132,Connolly,1,0
133,Ignatius Loyola,1,0
134,Hackett,1,0
135,William Ewart Gladstone,1,0
136,Lorenzo Ricci,1,0
137,Liffey,1,0
138,Thoth,1,0
139,William Malcolm Inverarity,1,0
140,James Joyce,1,0
141,Elizabethan English,1,0
142,Scott,1,0
143,Christy,1,0
144,Hickey,1,0
145,Baldyhead Dolan,1,0
146,Stanislaus Kostka,1,0
147,Marryat,1,0
148,Dundrum,1,0
149,W. S. Gilbert,1,0
150,Anthony MacSwiney,1,0
151,Afraid,1,0
152,Suarez,1,0
153,Harry Peard,1,0
154,Michael Robartes,1,0
155,Betty Byrne,1,0
156,Quaid,1,0
157,Ellen,1,0
158,Forster,1,0
159,Foxy Campbell,1,0
160,Alphonsus Liguori,1,0
161,Tyson,1,0
162,Met Davin,1,0
163,Mooney,1,0
164,Billy,1,0
165,Shelley,1,0
166,Maurice Moriarty,1,0
167,Guido Cavalcanti,1,0
168,Micky Mud,1,0
169,Buck Egan,1,0
170,Tim,1,0
171,Ballyhoura,1,0
172,Francis,1,0
173,Saint Augustine,1,0
174,Tallon,1,0
175,F. W. Martino,1,0
176,Henry Grattan,1,0
177,Tullabeg,1,0
178,Bishop Lanigan,1,0
179,Little,1,0
180,Cornelius Agrippa,1,0
181,Patrick Dun,1,0
182,Bob Dyas,1,0
183,Collins,1,0
184,Charles Kendal Bushe,1,0
185,Bruno,1,0
